ID,Lat,Lon,RAI_avg,MRAI_avg,SRAI_avg
2,35.2063,-101.8358,-42.77097573653629,-51.861709541738556,212.07208192811856
11,33.9353,-117.8828,-57.10826976034631,-67.82522423925099,129.10550130225226
34,34.3894,-118.0803,-55.00245526454215,-53.98874488216001,105.3677237874929
35,34.1683,-118.4697,-31.905998679994074,-36.50414146411603,-122.45690499385213
62,34.2689,-118.3997,-4.167138843740832,-10.91479598787684,-47.64655297529631
102,33.7969,-118.1675,-26.198046743055674,-27.611381308612508,-99.03531757980915
128,34.0447,-117.8386,-32.94245528216735,-23.543720367199796,-83.23664629175424
151,34.2053,-117.8606,-54.427832522742314,-54.66624350477159,-119.85071616183735
155,34.2056,-117.7611,-58.81472460460159,-64.04485136779165,-133.52748505795483
157,34.075,-118.0417,-50.267362816510854,-46.59727752088448,107.64918692086054
178,34.3789,-117.6889,-52.84028693464096,-65.58275244622732,-137.09794908450422
216,34.3763,-84.0599,-62.35287734808621,-66.99849448534567,134.70863118047635
222,42.0792,-71.4648,-60.016320910783016,-68.88289876947103,5.524908667139275
224,26.1734,-80.1784,-47.46150304444168,-49.05881742737873,166.11416198532078
233,38.198,-120.367,-59.18730144764138,-61.142976682541494,128.5862981161464
243,38.433,-122.25,-63.047381608479824,-60.58823159612333,-4.118244937512169
5170,39.35,-123.317,-28.59791347816557,-57.81906493347482,-98.75666113224113
5180,39.867,-123.717,-33.22415652233777,-50.277663876168276,178.7987411097215
5215,40.117,-121.05,-51.03670707180486,-35.45154920617213,-84.77708955254776
5445,39.916,-120.64,-26.47590124664385,-15.910919109500096,-111.98201790369589
5475,39.8997,-120.183,-37.090499359421855,-33.01073239419186,-72.79967057738058
5490,31.4706,-96.8833,-23.974143954311568,-42.75372451672041,-72.35327172802457
5535,34.345,-119.0767,-41.87722408782873,-39.81417964634073,-106.41397263144174
5670,34.3314,-119.0087,-31.95358170710038,-27.83217626228512,-74.57178711186792
5730,34.3908,-119.145,-29.517142655554736,-38.27911573632791,-93.7106295910002
5745,34.4792,-118.8823,-43.46977113314913,-28.291515365407022,-87.46713013447838
5760,34.7326,-119.1032,-59.62039158962894,-61.580914970143766,-132.39840249265927
5775,34.2856,-119.155,-34.159400556758285,-30.613885378913956,230.39042687845406
5805,34.6825,-119.3532,-44.57594217981745,-61.6152547372113,-125.06799328546836
6610,34.4281,-119.0903,-27.337501070959462,-30.665891042184313,227.53846715917226
6670,34.5133,-118.7576,-18.938393965718507,-24.891345739200744,-68.13867875131122
6730,34.3935,-118.884,-25.181244749181094,-9.769559134951908,-35.429952843660196
6880,34.2016,-119.207,-12.932077262777417,-21.883582371139177,-81.42858711294653
6960,34.5605,-119.1503,-33.51765680421461,-62.16651648221997,103.56855582686788
10008,34.4838,-119.3057,-32.1284628310813,-16.78499177419008,-106.79365500544439
10063,32.6833,-117.0,-28.143415994962268,-27.35645532330542,-83.32955131855606
10252,32.7136,-117.17,-27.149445435149083,-21.450080972034264,-89.84895765087055
10402,32.9494,-117.0628,-31.49075086964615,-25.94530915342314,-125.15369858309893
10748,32.6092,-116.9272,-20.362809121209686,-13.814009352527417,-77.61051949069929
10831,33.3833,-116.7833,-17.11426637402974,-6.001150617448026,-89.09867367497803
10957,32.8658,-116.4164,-26.293430456886004,-41.85956221684155,-59.86635350332734
11819,33.2386,-116.7617,1.5898860638435455,-20.880530521523532,-68.7021377264151
12119,33.1167,-117.0833,-17.54643828874949,-21.614142235951377,-89.51712515576203
12172,32.8822,-116.8069,-28.344904185176446,-39.75813656765486,-117.83686819221451
12377,33.2214,-116.3347,-26.60817974280134,-19.061678547048512,-69.82172934687073
12675,30.4331,-84.2608,-23.545289602062606,-40.75109465349392,-73.73204761726264
13043,30.4586,-84.3211,-25.26723682890792,-33.329782000278925,-48.77416288527739
13519,30.5272,-84.1917,-24.468403170938334,-37.38543188436896,-88.54672940848528
13578,30.4844,-84.1956,-17.914404097382555,-25.358636758417624,-87.95671231207407
13620,30.4833,-84.2992,-5.905535331254203,-10.467394043843093,-60.004948347113626
13655,30.5053,-84.3308,-32.04776813728205,-38.26302119240957,-68.6491153834158
14193,28.4361,-81.3714,-52.2450970728783,-41.64111110820366,-143.22817138298493
14209,27.9717,-81.4175,-10.92692116846583,1.3638398874178674,-38.18966122049739
15112,26.9072,-80.1917,-21.480151034369747,-5.752002998105697,-57.552628135211606
15397,25.3306,-80.525,-11.245084489649832,-21.05162509998205,-61.84545989377101
15478,26.9792,-81.09,-37.96180836888478,-26.70923049861654,-95.27994122822486
15550,26.6244,-80.9483,-37.07013651756892,-45.08126176849893,-89.59364325856592
15625,26.7744,-80.6175,-49.475793539547155,-41.70359149545707,-85.61710195668118
